"endTime","artistName","trackName","msPlayed"
"2020-08-07 14:18","Taylor Swift","Everything Has Changed",148331
"2020-09-06 01:47","ONE OK ROCK","We Are",211323
"2020-09-06 02:06","ONE OK ROCK","We Are",44078
"2020-09-06 02:07","The Weeknd","Can't Feel My Face",85440
"2020-09-06 02:07","The Chainsmokers","Something Just Like This",4392
"2020-09-06 02:10","Ed Sheeran","South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix",195924
"2020-09-06 02:14","Ed Sheeran","Runaway",205133
"2020-09-06 02:16","OneRepublic","Counting Stars",2169
"2020-09-06 02:16","Aimer","茜さす",117165
"2020-09-06 02:19","SPYAIR","RAGE OF DUST",202586
"2020-09-06 02:23","Taylor Swift","ME! - Live From Paris",213026
"2020-09-06 02:26","Taylor Swift","This Is Why We Can't Have Nice Things",207133
"2020-09-06 02:37","Linkin Park","One More Light",72341
"2020-09-07 01:06","Taylor Swift","King Of My Heart",2757
"2020-09-07 01:06","UVERworld","ODD FUTURE",36121
"2020-09-07 01:09","UVERworld","Touch off",161507
"2020-09-07 01:23","UVERworld","Touch off",256020
"2020-09-07 01:27","Eminem","Not Afraid",265085
"2020-09-07 01:31","Lady A","Need You Now",3844
"2020-09-07 01:31","T.I.","Dead And Gone",1464
"2020-09-07 01:31","ヨルシカ","言って。",242182
"2020-09-07 01:31","Sam Smith","Drowning Shadows",3144
"2020-09-07 01:31","Taylor Swift","Red",1328
"2020-09-07 01:35","Official HIGE DANdism","Pretender - Acoustic Ver.",223840
"2020-09-07 01:36","Sam Fischer","This City",1845
"2020-09-07 01:36","Taylor Swift","The Best Day",2925
"2020-09-07 01:36","Takako Matsu","Into the Unknown",5559
"2020-09-07 01:36","ONE OK ROCK","Be the light",32987
"2020-09-07 01:37","Official HIGE DANdism","Itan na star",86414
"2020-09-07 01:42","Hikaru Utada","光",308986
"2020-09-07 01:43","Aimer","Stars in the rain",6810
"2020-09-07 01:43","The Weeknd","Pray For Me (with Kendrick Lamar)",1760
"2020-09-07 01:44","Taylor Swift","Long Live",85124
"2020-09-07 01:55","Ed Sheeran","New Man",2230
"2020-09-07 01:55","Taylor Swift","Lover - Live From Paris",2947
"2020-09-07 01:55","Ed Sheeran","All of the Stars",2646
"2020-09-07 01:55","Kelly Clarkson","Good Goes The Bye",1192
"2020-09-07 01:55","Mary J. Blige","Doubt",491
"2020-09-07 02:00","RADWIMPS","万歳千唱",262773
"2020-09-07 02:02","Mandy Moore","When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",152333
"2020-09-07 02:02","Irma","Train",2917
"2020-09-07 02:06","B.o.B","Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",1112
"2020-09-07 02:06","Lin-Manuel Miranda","We Know The Way - Finale",1307
"2020-09-07 02:06","Imagine Dragons","It's Time",1993
"2020-09-07 02:06","Adele","Hello",995
"2020-09-07 02:06","Adele","Hello",810
"2020-09-07 02:06","Yanni","Our Days",3088
"2020-09-07 02:06","Jason Mraz","Lucky",1640
"2020-09-07 02:06","Yoko Shimomura","Valse di Fantastica",769
"2020-09-07 02:06","Hugh Jackman","The Other Side",285
"2020-09-07 02:06","Taylor Swift","22",777
"2020-09-07 02:06","Taylor Swift","22",431
"2020-09-07 02:06","Taylor Swift","You Need To Calm Down",691
"2020-09-07 02:06","Taylor Swift","You Need To Calm Down",703
"2020-09-07 02:06","Jonas Blue","Perfect Strangers - Acoustic",110
"2020-09-07 02:06","Ed Sheeran","I'm a Mess",209720
"2020-09-07 02:06","Justin Timberlake","Supplies",1254
"2020-09-07 02:06","Céline Dion","My Heart Will Go On - Love Theme from ""Titanic""",1410
"2020-09-07 02:07","Harry Styles","Two Ghosts",1324
"2020-09-07 02:07","Ed Sheeran","Lego House",1478
"2020-09-07 02:07","GReeeeN","愛唄",0
"2020-09-07 02:07","ONE OK ROCK","C.h.a.o.s.m.y.t.h.",1097
"2020-09-07 02:07","ONE OK ROCK","C.h.a.o.s.m.y.t.h.",0
"2020-09-07 02:07","P!nk","Whatever You Want",1758
"2020-09-07 02:07","Ne-Yo","One In A Million",972
"2020-09-07 02:07","Jason Mraz","Unlonely",957
"2020-09-07 02:07","Maroon 5","She Will Be Loved - Radio Mix",1945
"2020-09-07 02:07","Ed Sheeran","Shape of You - Acoustic",555
"2020-09-07 02:07","Charlie Puth","Done for Me (feat. Kehlani)",0
"2020-09-07 02:07","Lauv","I Like Me Better",770
"2020-09-07 02:07","Lauv","I Like Me Better",1083
"2020-09-07 02:07","Sugarland","Bigger",1427
"2020-09-07 02:07","Adele","Someone Like You",737
"2020-09-07 02:07","Taylor Swift","my tears ricochet",892
"2020-09-07 02:07","Aretha Franklin","I Will Survive (The Aretha Version)",0
"2020-09-07 02:07","Official HIGE DANdism","Shukumei",1207
"2020-09-07 02:07","The Weeknd","Pray For Me (with Kendrick Lamar)",970
"2020-09-07 02:07","Kelly Clarkson","Dark Side",2427
"2020-09-07 02:07","Bruno Mars","Just the Way You Are",2891
"2020-09-07 02:07","RADWIMPS","泣き出しそうだよ",1101
"2020-09-07 02:07","ONE OK ROCK","The Way Back",1041
"2020-09-07 02:07","ヨルシカ","雲と幽霊",1130
"2020-09-07 02:07","Taylor Swift","You Belong With Me",729
"2020-09-07 02:07","Linkin Park","IN MY REMAINS",1125
"2020-09-07 02:07","Taylor Swift","epiphany",1424
"2020-09-07 02:07","Lewis Capaldi","Someone You Loved",3490
